"NOM,C,29","ENF_HEBER,C,2","ACT_EDUC,C,1","CHRS,C,2","ACC_ASILE,C,1","AUTRES_SOC,C,2","TRAV_PROT,C,2","HEB_PROV,C,1","ETA_PSY,C,2","URGENCES,C,1","MATERNITE,C,1","Asso_singa,N,10,0","Volo_singa,N,10,0"
Équeurdreville-Hainneville,1,0,0,0,2,0,0,0,0,0,0,1
Mandelieu-la-Napoule,0,0,0,0,1,0,0,0,0,0,0,0
12e Arrondissement,1,1,4,1,23,3,0,5,3,3,2,30
13e Arrondissement,8,1,7,0,33,10,0,18,1,2,4,25
2e Arrondissement,1,0,0,0,6,0,0,0,0,0,0,8
Lyon 6e Arrondissement,3,1,1,0,8,0,0,2,0,0,0,0
Lyon 5e Arrondissement,4,0,3,0,2,0,1,3,0,0,0,2
6e Arrondissement,1,0,0,0,5,1,0,0,0,0,0,9
18e Arrondissement,3,0,3,1,33,3,1,7,1,1,2,27
19e Arrondissement,7,2,7,0,26,6,0,3,2,1,4,31
Lyon 2e Arrondissement,1,2,3,0,5,0,0,1,0,0,7,12
Vélizy-Villacoublay,0,0,0,0,2,1,0,0,0,0,0,2
Montpellier,7,5,10,1,22,5,0,12,5,1,5,47
Tourlaville,0,0,0,0,1,2,0,0,0,0,0,2
15e Arrondissement,4,2,3,0,31,2,0,10,2,2,1,30
Lyon 1er Arrondissement,1,0,2,0,2,0,0,0,0,0,1,8
Cherbourg-Octeville,5,2,2,1,4,0,0,2,1,1,0,4
16e Arrondissement,2,0,0,0,1,1,0,5,0,1,0,12
14e Arrondissement,6,0,3,0,19,3,0,9,2,3,0,22
20e Arrondissement,7,2,8,1,24,1,0,4,2,1,2,32
Saint-Estève,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Cyr-l'École,0,0,0,0,1,0,0,0,0,0,0,0
Lyon 8e Arrondissement,1,1,4,0,11,3,0,7,1,1,0,8
Lyon 4e Arrondissement,1,2,2,0,2,0,0,0,1,1,0,9
Perpignan,3,3,6,1,11,1,0,11,3,3,2,14
1er Arrondissement,0,3,0,0,4,1,0,1,0,0,0,7
La Baule-Escoublac,0,0,0,0,1,0,0,0,0,0,0,6
5e Arrondissement,0,0,0,0,5,2,0,3,0,0,0,14
7e Arrondissement,1,0,1,0,2,0,0,2,0,0,0,5
10e Arrondissement,5,1,4,0,25,0,0,4,2,1,1,168
11e Arrondissement,1,3,6,0,28,5,0,8,0,0,3,31
4e Arrondissement,0,0,2,0,2,0,0,5,1,0,18,19
Lyon 7e Arrondissement,0,2,6,0,17,1,0,1,1,1,2,10
Canet-en-Roussillon,0,0,0,0,0,2,0,0,0,0,0,3
3e Arrondissement,0,1,2,0,2,0,0,1,0,0,0,7
Pornichet,0,0,0,0,0,0,0,0,0,0,0,0
Oyonnax,0,1,1,0,4,2,0,0,1,1,0,0
Bois-d'Arcy,1,0,0,0,1,1,0,1,0,0,0,0
Le Plessis-Robinson,3,0,0,0,1,2,0,0,0,0,0,2
Igny,0,0,0,0,0,0,0,0,0,0,0,0
La Seyne-sur-Mer,0,0,1,0,2,1,0,1,1,0,0,2
Grigny,0,1,0,0,1,0,0,0,0,0,0,0
Castelnau-le-Lez,0,0,1,0,3,3,0,0,1,0,0,0
Sceaux,0,1,0,0,1,0,0,1,0,0,0,2
Massy,1,3,0,1,5,0,1,0,1,1,2,3
Clamart,3,0,0,0,6,0,0,3,2,1,0,2
Versailles,6,4,5,0,11,0,0,3,1,1,2,13
Guidel,0,0,0,0,0,2,0,0,0,0,0,1
Ploemeur,1,0,0,0,1,1,0,0,0,0,0,2
Lattes,0,0,0,0,0,2,0,1,0,0,0,5
Les Clayes-sous-Bois,0,0,0,0,0,1,0,0,0,0,0,0
Les Ponts-de-Cé,0,1,0,0,0,1,0,1,0,0,0,5
Chaville,0,0,0,0,1,0,0,0,0,0,0,1
Le Chesnay,1,0,0,0,1,0,0,1,2,2,0,2
Trélazé,0,1,0,0,1,1,0,1,0,0,0,0
Meudon,0,0,0,0,6,2,0,1,1,1,0,2
Épinay-sur-Orge,0,1,0,0,4,0,0,1,0,0,0,0
Bagneux,0,2,0,0,4,3,0,0,0,0,0,8
Sainte-Geneviève-des-Bois,1,1,1,0,3,0,0,5,0,0,0,0
Chevilly-Larue,1,0,0,0,2,0,0,1,0,0,0,0
Bourg-la-Reine,1,0,1,0,1,0,0,0,0,1,0,1
Chantepie,1,0,0,0,1,0,0,0,0,0,0,2
Guyancourt,0,0,0,0,1,0,0,0,0,0,0,6
Colomiers,0,0,0,0,2,4,0,0,0,0,0,3
Toulouse,15,7,17,4,52,4,2,25,4,5,0,75
Athis-Mons,0,0,2,0,2,1,0,0,0,1,0,2
Palaiseau,2,0,0,0,6,1,0,2,0,0,2,6
Carcassonne,3,1,2,1,7,3,1,3,2,1,0,8
Viroflay,0,0,0,0,2,0,0,0,0,0,0,1
Fontenay-le-Fleury,1,0,0,0,0,1,0,0,0,0,0,1
Ville-d'Avray,0,0,0,0,2,0,0,2,0,0,0,0
Illzach,1,0,0,0,0,1,0,0,0,0,0,2
Sèvres,2,0,0,0,3,1,0,2,1,1,0,6
Rixheim,0,0,0,0,0,1,0,0,0,0,0,0
Saint-Michel-sur-Orge,0,0,0,0,1,0,0,0,0,0,0,0
Morangis,0,0,0,0,0,0,0,0,0,0,0,0
Châtenay-Malabry,2,0,1,0,4,2,0,2,0,0,0,2
Orsay,1,0,0,0,1,0,0,1,1,1,0,4
Savigny-sur-Orge,0,1,0,1,0,0,0,2,0,0,0,0
Toulon,6,4,6,1,13,6,0,2,2,2,0,18
Reims,8,2,6,1,30,5,0,7,4,3,0,27
Tinqueux,1,0,0,0,0,1,0,0,0,0,0,0
Châtillon,1,1,1,1,1,2,0,0,0,0,0,1
Malakoff,0,1,0,0,1,0,0,4,0,0,0,10
Montrouge,0,1,0,0,3,0,0,3,0,0,0,9
Limoux,0,0,0,0,3,3,0,5,0,0,0,4
Valence,4,3,5,1,11,5,0,1,1,1,0,6
Mulhouse,8,2,6,3,29,5,1,7,4,2,0,9
Blagnac,0,0,0,0,3,2,0,0,0,0,0,2
Tournefeuille,0,0,0,0,0,0,0,0,0,0,0,1
Romans-sur-Isère,1,0,2,0,4,2,0,2,1,1,0,10
Fontenay-aux-Roses,2,0,0,0,2,0,0,2,0,0,0,0
Kingersheim,0,0,0,0,0,0,0,0,0,0,0,0
Riedisheim,1,0,0,0,1,0,0,0,0,0,0,3
Wittelsheim,0,0,0,0,0,0,0,0,0,0,0,0
Élancourt,3,0,0,0,2,0,0,1,0,0,2,3
Apt,0,0,0,0,0,0,0,2,1,1,0,3
Cernay,0,0,0,0,3,2,0,1,0,0,0,0
Laxou,5,3,1,0,1,0,0,1,0,0,0,0
Bourg-de-Péage,0,0,0,0,0,0,0,0,0,0,0,2
Maurepas,0,0,0,0,3,0,0,0,0,0,0,2
Saint-Maur-des-Fossés,2,0,1,0,4,2,0,2,0,1,0,2
Trappes,0,0,1,0,4,1,0,0,1,1,0,0
Valenciennes,6,4,4,1,12,0,0,2,2,1,0,9
Bourges,2,3,2,1,8,3,0,1,1,1,0,30
Anzin,1,0,0,0,1,1,0,0,0,0,0,0
Bruay-sur-l'Escaut,0,0,0,0,0,1,0,1,0,0,0,0
Saint-Amand-les-Eaux,0,0,0,0,0,1,0,4,0,0,0,0
Gif-sur-Yvette,0,0,0,0,0,0,0,0,0,0,0,0
Cachan,1,0,2,0,3,0,0,0,0,0,0,4
Montigny-le-Bretonneux,1,0,1,0,3,0,0,0,0,0,0,4
Voisins-le-Bretonneux,0,0,0,0,0,0,0,0,0,0,0,5
Hautmont,0,1,0,0,1,1,0,0,0,0,0,0
Orly,1,0,0,0,0,1,0,1,0,0,0,0
Vanduvre-lès-Nancy,0,1,0,0,1,2,0,3,1,0,0,0
Nancy,5,0,10,0,15,0,0,7,3,2,0,48
Raismes,0,1,1,0,0,0,0,0,0,0,0,0
Aniche,0,0,1,0,0,0,0,0,0,0,0,0
Marly,4,0,0,0,1,2,0,0,0,0,0,2
Saint-Saulve,0,0,0,0,0,0,0,1,0,1,0,0
Denain,1,0,1,0,1,1,0,4,1,1,0,0
Rennes,15,5,3,1,19,2,1,27,2,2,2,59
Faches-Thumesnil,0,0,0,0,2,2,0,1,0,0,0,0
Loos,2,0,1,0,0,1,0,1,0,0,0,2
Villeneuve-d'Ascq,0,2,0,0,3,2,0,3,0,1,0,2
Wasquehal,3,0,0,0,0,0,0,1,0,0,0,3
Saint-André-lez-Lille,0,0,0,0,2,0,0,5,0,0,0,1
Roncq,0,0,0,0,0,0,0,0,0,0,0,0
Caudry,1,0,1,0,1,0,0,0,0,0,0,0
Rezé,0,1,1,1,2,1,0,3,0,0,0,6
Sainte-Luce-sur-Loire,1,0,0,0,0,0,0,0,0,0,0,3
Colmar,2,2,4,2,5,3,0,5,2,2,0,8
Cambrai,4,2,3,0,5,1,0,1,1,1,1,1
Sin-le-Noble,1,0,0,0,0,0,0,0,0,0,0,0
Somain,0,0,0,0,0,0,0,2,0,0,0,0
Antony,2,1,1,0,1,1,0,4,1,1,0,5
Annullin,0,0,0,0,0,0,0,0,0,0,0,0
Seclin,0,0,0,0,0,1,0,3,1,1,0,0
Wattignies,0,0,0,0,0,0,0,1,0,0,0,1
Haubourdin,1,0,0,0,1,0,0,1,0,0,0,0
Lille,11,9,11,1,25,10,0,12,7,3,4,40
Mons-en-Barul,1,0,0,0,0,0,0,0,0,0,0,5
La Madeleine,1,1,1,0,0,1,0,0,0,0,0,0
Hem,0,0,0,0,0,0,0,0,0,0,0,4
Marcq-en-Barul,3,0,0,0,2,1,1,1,0,0,0,4
Croix,1,0,1,0,0,1,0,0,0,0,0,2
Wattrelos,0,0,0,0,1,2,0,0,0,0,0,0
Vanves,0,0,0,0,1,0,0,0,0,0,0,9
Roubaix,4,3,5,0,16,4,0,4,1,1,0,15
Marquette-lez-Lille,1,0,0,0,1,0,0,0,0,0,0,0
Neuville-en-Ferrain,0,0,0,0,0,2,0,0,0,0,0,0
Halluin,0,0,0,0,1,0,0,0,0,0,0,0
Comines,0,0,0,0,1,3,0,1,0,0,0,0
Saint-Sébastien-sur-Loire,3,1,1,0,0,1,0,1,0,0,0,2
Plaisir,2,1,0,0,2,1,0,3,0,0,0,0
Villers-lès-Nancy,3,0,0,0,0,0,0,0,0,0,0,1
Bourg-lès-Valence,1,0,0,1,2,0,0,0,0,0,0,1
La Ciotat,0,0,1,0,2,0,0,2,1,1,0,1
Wittenheim,0,0,0,0,0,0,0,0,0,0,0,0
Bischheim,2,0,0,0,0,1,0,1,0,0,0,0
Nantes,17,4,7,1,32,4,1,21,2,3,2,58
Le Vésinet,1,0,0,0,0,0,0,1,0,0,0,5
Schiltigheim,1,0,0,1,1,1,0,2,0,1,0,3
Béziers,2,3,1,2,6,3,0,5,1,2,0,5
Orvault,0,0,0,0,1,2,0,2,0,0,0,0
Sélestat,1,0,1,1,0,2,0,1,1,1,0,6
Aix-en-Provence,2,1,4,0,4,4,0,6,2,2,0,18
Vernouillet,0,0,0,0,2,3,0,0,0,0,0,0
Rognac,1,0,0,0,0,0,0,0,0,0,0,0
Verrières-le-Buisson,1,0,0,0,1,0,0,0,0,0,0,5
Bouc-Bel-Air,0,0,0,0,0,2,0,1,0,0,0,3
Dreux,1,1,1,0,3,0,0,1,1,1,0,3
Ostwald,0,1,0,0,0,0,0,0,0,0,0,0
Trets,0,0,0,0,0,0,0,0,0,0,0,3
Boulogne-Billancourt,2,0,1,0,13,0,0,1,1,0,1,16
Pertuis,0,0,0,0,0,0,0,0,1,1,0,0
Narbonne,3,2,0,0,4,3,0,7,2,2,0,10
Les Pennes-Mirabeau,0,0,0,0,0,0,0,0,0,0,0,0
Rueil-Malmaison,2,1,0,0,0,1,0,2,0,1,0,10
Marignane,0,0,0,0,0,1,0,0,1,0,0,5
Maubeuge,1,2,3,0,6,1,0,2,1,2,0,0
Saint-Ouen-l'Aumône,3,0,2,0,4,1,0,1,0,0,0,1
Arles,1,0,1,0,4,1,0,2,0,1,0,10
Lézignan-Corbières,0,0,0,0,0,1,0,2,0,0,0,0
Fourmies,0,0,0,0,1,1,0,0,1,1,0,0
Marly-le-Roi,0,0,0,0,0,0,0,1,0,0,0,3
Bastia,6,0,2,0,2,0,0,2,1,2,0,0
Carrières-sur-Seine,0,0,0,0,0,1,0,0,0,0,0,2
Douchy-les-Mines,0,0,0,0,0,0,0,0,0,0,0,0
Villeneuve-Loubet,0,1,0,0,0,1,0,0,0,0,0,0
Saint-Herblain,0,0,0,0,4,1,0,3,0,1,0,1
Auriol,0,0,0,0,0,0,0,0,0,0,0,0
Pamiers,2,0,1,0,2,3,0,1,0,0,0,0
Soissons,3,0,2,1,8,1,0,2,1,1,0,2
Tarascon,0,0,0,0,0,0,0,0,0,0,0,0
Martigues,1,0,0,0,3,0,0,1,0,1,0,4
Allauch,0,0,0,0,0,0,0,1,0,0,0,2
Douai,2,3,2,0,8,1,0,3,0,0,0,2
Beaune,4,0,1,0,3,2,0,3,1,1,0,0
Château-Thierry,1,0,0,0,3,1,0,0,1,1,0,0
Bailleul,1,0,0,0,1,0,0,3,0,0,1,1
Septèmes-les-Vallons,1,0,0,0,0,0,0,0,0,0,0,0
Chambéry,6,2,1,0,10,4,0,1,1,1,0,5
La Motte-Servolex,0,0,0,0,2,0,0,1,0,0,0,1
Aubagne,1,0,0,0,4,4,0,4,1,2,0,2
Montesson,0,0,0,0,0,1,0,2,0,0,0,1
Ronchin,0,0,0,0,1,0,0,0,0,0,0,0
Hnheim,0,0,0,1,1,0,0,0,0,0,0,4
Lys-lez-Lannoy,0,0,0,0,0,1,0,0,0,0,0,0
Lambersart,3,1,0,0,1,0,0,0,0,0,0,3
Mouvaux,1,0,0,0,0,0,0,0,0,0,0,4
Salon-de-Provence,1,0,2,0,4,3,0,1,1,1,2,9
Menton,1,0,0,0,0,1,0,0,1,0,0,0
Pierrelatte,1,0,0,0,2,1,0,0,0,0,0,0
Tourcoing,7,4,5,1,6,3,0,4,1,2,0,11
Biot,0,0,0,0,0,0,0,0,0,0,0,0
Strasbourg,11,4,12,1,34,5,1,6,5,3,6,48
Vallauris,1,0,1,0,1,0,0,0,0,0,0,2
Garches,1,0,0,0,1,0,0,2,1,0,0,0
Sartrouville,1,0,0,1,3,1,0,1,0,0,0,4
Saint-Cloud,0,0,0,0,3,0,0,3,1,1,0,7
Suresnes,0,2,0,0,1,2,0,4,1,1,0,3
Aubergenville,0,0,0,0,0,0,0,0,1,0,0,2
Ollioules,0,0,0,0,0,0,0,1,1,0,0,0
Houilles,0,2,0,0,0,0,0,0,0,0,0,2
Ajaccio,1,2,2,0,1,2,0,3,0,1,0,4
Brumath,0,0,0,0,0,0,0,3,0,0,0,2
Illkirch-Graffenstaden,2,0,0,0,0,2,0,1,0,0,0,2
La Roche-sur-Foron,0,0,0,1,1,0,0,1,0,0,0,4
Marseille 9e Arrondissement,2,1,0,0,0,4,0,4,0,0,0,4
Passy,0,0,0,0,1,0,0,1,0,0,0,0
Cluses,4,0,2,0,5,2,0,0,0,0,0,0
La Chapelle-sur-Erdre,0,0,0,0,0,0,0,0,0,0,0,3
Maisons-Laffitte,0,0,0,0,1,0,0,0,1,0,0,3
Achères,0,0,0,0,1,0,0,0,0,0,0,2
Fontenay-le-Comte,0,0,1,1,2,1,0,3,1,1,0,0
Bonneville,0,0,1,0,3,1,0,0,0,0,0,0
Verneuil-sur-Seine,0,0,0,0,1,0,0,0,0,0,0,2
Quimperlé,3,0,0,1,1,0,0,4,1,0,0,3
Cavaillon,0,0,0,0,1,2,0,0,1,1,0,0
Villers-Cotterêts,0,0,0,0,1,0,0,0,0,0,0,2
Andrésy,0,0,0,0,0,1,0,0,0,0,0,3
Belfort,1,1,2,1,7,1,0,2,1,1,0,2
Limeil-Brévannes,0,0,0,0,4,0,0,0,0,0,0,3
Rouen,9,7,9,2,18,1,0,15,2,2,0,15
Port-de-Bouc,0,1,0,0,2,1,0,0,0,0,0,0
Saint-Paul-lès-Dax,1,2,0,0,0,2,0,0,0,0,0,3
Laon,4,2,2,1,4,1,0,3,1,1,0,2
Dax,1,0,1,0,6,0,0,2,1,1,0,2
Coulommiers,1,1,0,0,0,0,0,3,1,1,0,0
Marseille 1er Arrondissement,4,1,5,2,23,0,0,1,0,0,0,1
Marseille 2e Arrondissement,0,0,1,0,1,0,0,0,0,0,3,3
Marseille 3e Arrondissement,0,0,2,4,11,0,0,0,1,0,0,3
Balma,0,0,0,0,2,0,0,0,0,0,0,0
Armentières,2,0,0,0,3,4,0,1,1,1,0,2
Biscarrosse,0,0,0,0,0,0,0,0,1,0,0,1
Marseille 6e Arrondissement,3,2,6,0,6,0,0,2,0,1,0,10
Marseille 7e Arrondissement,1,1,0,0,0,1,0,0,0,0,0,1
Bouguenais,1,1,0,0,1,0,0,0,0,0,0,2
Vernon,2,0,1,1,4,0,0,6,1,1,0,5
La Riche,0,0,0,0,0,0,0,0,0,0,0,0
Pantin,0,2,0,0,2,0,0,0,0,0,0,8
Le Pré-Saint-Gervais,0,0,1,0,0,0,0,0,0,0,0,0
Marseille 10e Arrondissement,3,0,1,0,1,2,0,0,0,0,0,3
Joué-lès-Tours,3,0,0,1,2,1,0,1,0,0,0,0
Tours,9,2,4,1,18,6,1,1,1,1,0,25
Villefontaine,1,1,0,0,0,2,0,1,0,0,0,0
Ermont,1,1,0,0,3,0,0,1,1,1,0,2
La Valette-du-Var,1,0,0,0,0,0,0,0,0,0,0,0
Périgueux,3,1,4,1,6,0,0,2,2,1,0,3
Soisy-sous-Montmorency,0,0,0,0,0,1,0,0,0,0,0,3
Sallanches,1,0,0,0,0,1,0,1,1,1,0,3
Marseille 13e Arrondissement,2,1,0,0,4,1,0,3,1,0,1,3
Carquefou,0,0,0,0,0,3,0,2,0,0,0,2
Marseille 16e Arrondissement,0,0,0,0,1,1,0,1,0,0,0,3
Pacé,0,0,0,0,1,0,0,1,0,0,0,0
Couëron,0,0,0,0,0,0,0,0,0,0,0,2
Montélimar,1,0,2,0,3,2,0,3,1,1,0,1
Miramas,0,0,0,2,1,0,1,0,0,0,0,1
Lingolsheim,0,0,0,0,0,0,0,1,0,0,0,1
Montceau-les-Mines,1,2,0,1,3,1,0,1,0,0,0,0
Gardanne,0,0,0,0,1,1,0,1,0,0,0,2
Vitrolles,1,0,1,0,1,2,0,2,0,1,0,0
Cesson-Sévigné,0,0,0,0,0,1,0,0,1,0,0,2
Hazebrouck,2,3,0,0,1,2,0,2,1,1,0,1
Cagnes-sur-Mer,3,0,0,0,1,0,0,1,1,1,0,2
Marseille 4e Arrondissement,1,1,1,0,3,3,0,0,0,0,0,1
Vence,1,0,0,0,2,1,0,0,0,0,0,4
Val-de-Reuil,1,1,0,0,2,2,0,0,0,0,0,0
Saint-Avertin,0,1,0,0,0,0,0,0,0,0,0,0
Vichy,1,0,1,0,3,0,0,4,1,1,0,0
L'Isle-d'Abeau,1,0,0,0,1,0,0,0,0,0,0,2
L'Ha˙-les-Roses,0,0,0,1,3,0,0,0,0,0,0,0
Fondettes,0,0,0,0,0,0,0,0,0,0,0,0
L'Isle-Adam,0,0,0,0,1,1,0,0,0,1,0,0
Eaubonne,1,0,1,0,1,0,0,1,1,1,0,2
Marseille 15e Arrondissement,0,0,1,2,8,1,0,6,1,1,0,0
Chatou,0,0,0,0,1,1,0,0,0,0,0,1
Dammarie-les-Lys,1,1,1,0,4,0,0,0,0,0,0,0
Châteaurenard,0,0,0,0,0,1,0,3,0,0,0,4
Louviers,0,2,0,0,4,1,0,3,1,0,0,1
Amboise,3,1,1,0,2,0,0,0,1,0,0,3
Castelnaudary,0,0,0,0,2,1,0,2,1,0,0,0
Dijon,1,5,9,2,23,2,0,12,2,2,0,27
Millau,2,0,1,0,1,2,0,2,1,1,0,7
Châteauneuf-les-Martigues,0,0,0,0,0,0,0,0,0,0,0,0
